model,target,r2,rmse
RandomForest,KD,0.7127,2.7158
XGBoost,KD,0.8814,1.7449
GPR,KD,0.7494,2.5368
RSM,KD,0.6011,3.2002
RandomForest,E_pct,0.9812,2.4905
XGBoost,E_pct,0.989,1.9064
GPR,E_pct,0.9989,0.5986
RSM,E_pct,0.9956,1.2104
RandomForest,Z,0.8911,0.0118
XGBoost,Z,0.9396,0.0088
GPR,Z,0.9883,0.0039
RSM,Z,0.942,0.0086
RandomForest,SF_min,0.8945,0.2821
XGBoost,SF_min,0.9351,0.2213
GPR,SF_min,0.8058,0.3828
RSM,SF_min,0.8127,0.3759
ANN,KD,0.7529,2.5187
ANN,E_pct,0.9824,2.4057
ANN,Z,0.9529,0.0077
ANN,SF_min,0.8448,0.3422
